product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Laptop Dell Inspiron 15 3520-5810BLK 102F0,13.990.000đ,12.990.000đ,"Thiết kế đơn giản, trẻ trung với tone màu đen bao phủ.
Màn hình cảm ứng 15.6 inch Full HD cho trải nghiệm hình ảnh vô cùng sắc nét.
CPU Intel core i5-1155G7 cùng 8 GB RAM DDR4 xử lý mượt các tác vụ văn phòng: Word, Excel,...
Card đồ họa Intel Iris Xe Graphics hỗ trợ chỉnh ảnh đơn giản.
Không gian lưu trữ vừa phải với ổ cứng 256 GB SSD.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-5810blk-102f0.html
Laptop Dell Inspiron 15 3520,16.990.000đ,16.490.000đ,"Thiết kế sang trọng và tinh tế với màu bạc cao cấp.
Trang bị con chip Intel Core i5-1235U mang lại hiệu suất ổn định.
Ram 16GB và ổ cứng SSD 512GB PCIe đảm bảo tốc độ khởi động nhanh chóng.
Màn hình 15.6 inch Full HD với tần số quét 120Hz, mang đến trải nghiệm gaming mượt mà.
Hệ điều hành Windows 11 kết hợp bộ Office tiêu chuẩn, đáp ứng tốt nhu cầu văn phòng.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-25p2312.html
Laptop Dell Inspiron 15 3520 6HD73,19.990.000đ,17.990.000đ,"Laptop Dell Inspiron 15 3520 với hiệu năng mạnh mẽ từ CPU Intel Core i7-1255U 10 nhân 12 luồng.
Màn hình 15.6 inch FHD cho hình ảnh sắc nét, sống động.
RAM 16GB DDR4 và SSD 512GB PCIe NVMe cho khả năng đa nhiệm và khởi động nhanh chóng.
Thiết kế thanh lịch, gọn nhẹ, phù hợp cho công việc và học tập.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-6hd73.html
Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 - Nhập khẩu chính hãng,15.490.000đ,13.990.000đ,"Máy tính được trang bị bộ xử lý Intel Core i5-1235U hiệu năng cao.
Với 8GB RAM và ổ cứng 512GB, máy mang lại khả năng xử lý nhanh chóng và lưu trữ dữ liệu rộng rãi.
Màn hình 15.6 inch Full HD cảm ứng mang lại trải nghiệm hiển thị sống động và khả năng sáng tạo thoải mái.
Thiết kế vỏ máy màu đen lịch lãm, mang đến vẻ ngoài sang trọng và bền bỉ.
Laptop được nhập khẩu chính hãng, đảm bảo chất lượng và đầy đủ bảo hành của Dell.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-5124blk-gj8w7.html
Laptop Dell Inspiron 15 3520 6R6NK - Nhập khẩu chính hãng,14.490.000đ,13.490.000đ,"Trang bị bộ vi xử lý Intel Core i5-1235U, mang lại hiệu suất đáng tin cậy cho các tác vụ hàng ngày.
Với 8GB RAM và ổ cứng 512GB, máy đáp ứng tốt nhu cầu lưu trữ và đa nhiệm của người dùng.
Màn hình 15.6 inch FHD mang đến trải nghiệm xem đa phương tiện sống động.
Thiết kế vỏ nhựa màu đen tối giản, tạo cảm giác sang trọng và tinh tế.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-6r6nk.html
Laptop Dell Vostro 3520 F0V0VI3 - Nhập khẩu chính hãng,11.990.000đ,9.690.000đ,"Sở hữu thiết kế thanh lịch và đầy chuyên nghiệp, màu đen làm tăng vẻ sang trọng
Trang bị vi xử lý Intel Core i3-1215U đem lại hiệu năng ổn định cho công việc hàng ngày và xử lý đa nhiệm mượt mà
Bộ nhớ RAM 8GB và ổ cứng SSD PCIe 512GB giúp khởi động và truy cập dữ liệu nhanh chóng
Màn hình 15.6 inch FHD tạo ra hình ảnh sắc nét, giúp nâng cao trải nghiệm làm việc và giải trí
Laptop này chạy trên Free OS, cho phép người dùng tự do chọn hệ điều hành phù hợp với nhu cầu của mình
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0vi3.html
Laptop Dell Vostro 3520 F0V0V256 - Nhập khẩu chính hãng,13.990.000đ,12.490.000đ,"Trang bị bộ vi xử lý Intel Core i5-1235U xử lý một loạt các nhiệm vụ từ lướt web, soạn thảo văn bản, chỉnh sửa hình ảnh đơn giản
RAM 8GB, một dung lượng đủ lớn để chạy nhiều ứng dụng cùng một lúc mà không gây ra hiện tượng máy bị giật lag hay đứng máy
Ổ cứng SSD PCIe 256GB, giúp tăng tốc độ truy cập dữ liệu và khởi động máy nhanh chóng
Màn hình Full HD 15.6 inch mang đến hình ảnh rõ nét và màu sắc trung thực
Hệ điều hành Free OS, cho phép bạn tự do lựa chọn hệ điều hành phù hợp với nhu cầu sử dụng của mình
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0v256.html
Laptop Dell Inspiron 15 3520 YTC9K,13.990.000đ,12.590.000đ,"Sở hữu thiết kế cá tính với màu đen mạnh mẽ.
Màn hình15.6 inch cùng cân nặng chỉ 1.90 kg dễ dàng bỏ laptop vào balo hay túi xách.
CPU Intel Core i5-1235U kết hợp card đồ họa Intel Iris Xe Graphics xử lý tốt các tác vụ nặng nhẹ khác nhau.
RAM 8 GB cùng ổ cứng 256 GB SSD đa nhiệm cực tốt, mở cùng lúc hàng chục tabs trên Google Chrome mà không lo bị giật lag.
Hỗ trợ Webcam, cho bạn thoải mái học online, làm việc trực tuyến,...
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-ytc9k.html
Laptop Dell Vostro 3520 F0V0V,13.990.000đ,12.590.000đ,"Trang bị bộ vi xử lý Intel Core i5 1235U xử lý mượt mà và hiệu quả các tác vụ thường ngày như lướt web, soạn thảo săn bản, xem phim, giải trí,..
RAM 8 GB đa nhiệm, đủ để sử dụng cho các tác vụ học tập, làm việc văn phòng.
Ổ cứng SSD 512 GB có tốc độ đọc, ghi cao, rút ngắn đáng kể thời gian phản hồi, khởi động máy hay các phần mềm nhanh chóng.
Màn hình lớn 15.6 inch Full HD mang đến góc nhìn được tối ưu, rộng lớn và đã mắt với chất lượng hình ảnh hiển thị rõ nét.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-vostro-3520-f0v0v.html
Laptop Dell Inspiron 15 3520 71045026,16.990.000đ,16.490.000đ,"Màn hình 15.6 inch FHD mang đến hình ảnh rõ nét và góc nhìn rộng, lý tưởng cho việc xem phim và làm việc.
Được trang bị bộ vi xử lý Intel Core i5-1235U và RAM 16GB, laptop xử lý mượt mà các ứng dụng văn phòng và đa nhiệm.
Ổ cứng 512GB PCIe cung cấp không gian lưu trữ lớn và tốc độ truy xuất dữ liệu nhanh.
Chạy trên Windows 11 và đi kèm với Microsoft Office, hỗ trợ tốt cho công việc học tập và văn phòng.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-71045026.html
Laptop Dell Vostro 3520,,,"Hiệu năng ổn định với I7-1235U xử lý tốt các tác vụ từ văn phòng đến chỉnh sứa hình ảnh
RAM 8 GB tối ưu hoá tốt hiệu suất sử dụng, cho phép mở nhiều ứng dụng cùng lúc
SSD 512 GB NVMe tốc độ cao rút ngắn thời gian load ứng dụng
Giải trí sống động với màn hình 15.6 inch cùng độ phân giải full HD
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-vostro-3520-i7-1255u-8gb-512gb.html
Laptop Dell Inspiron 15 3525 4R52X,13.990.000đ,12.290.000đ,"Sở hữu vẻ ngoài tối giản, sang trọng, phù hợp cho nhiều đối tượng người dùng
Màn hình 15.6 inch Full HD rộng rãi, cho không gian làm việc, giải trí thoải mái
CPU AMD R5-5500U mạnh mẽ, xử lý nhanh gọn mọi tác vụ văn phòng, học tập nhanh chóng
RAM 8GB đa nhiệm cho khả năng mở nhiêu tabs Chrome cùng lúc mà không lo lag, giật
Ổ cứng 512GB SSD rộng rãi, hỗ trợ mở máy nhanh chóng
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3525-4r52x.html
Laptop Dell Inspiron 15 3530 N5I5407W1,19.290.000đ,18.990.000đ,"Laptop có màu đen thanh lịch, vừa mạnh mẽ vừa tinh tế, phù hợp với nhiều môi trường làm việc.
Màn hình 15.6 inch FHD với tần số quét 120Hz mang lại hình ảnh sắc nét và mượt mà, lý tưởng cho cả công việc và giải trí.
Sử dụng chip Intel Core i5-1334U và RAM 16GB, máy đáp ứng tốt các tác vụ đa nhiệm và ứng dụng yêu cầu cao.
Ổ cứng 512GB PCIe cung cấp tốc độ truy xuất dữ liệu nhanh và không gian lưu trữ rộng rãi cho tài liệu và ứng dụng.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3530-n5i5407w1.html
Laptop Dell Inspiron 15 3520 W15KT,13.990.000đ,12.190.000đ,,,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-w15kt.html
Laptop Dell Inspiron 5425,Giá Liên Hệ,Giá Liên Hệ,"Hiệu năng được nâng cấp mạnh mẽ với Ryzen 5 - 5625U được tích hợp 16GB RAM
Trang bị đầy đủ hệ thống các cổng kết nối như cổng USB 3.2 Gen 1, USB 3.2 Gen 2 Type-C, HDMI 1.4, jack cắm 3.5mm và khe cắm thẻ SD.
Thiết kế sang trọng, gọn nhẹ chỉ 1.54kg thích hợp để mang đi khắp mọi nơi.
Không gian hiển thị tối ưu với công nghệ Dolby Vision cho hiệu ứng của màu đen có độ sâu hơn và vùng sáng chói trên nội dung của HDR.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-5425.html
Laptop Dell Latitude 7400,Giá Liên Hệ,Giá Liên Hệ,"Màn hình cảm ứng 14 inch Full HD cho hình ảnh sắc nét, chân thực
Chip Intel Core i5-8365U tiết kiệm điện
RAM tối đa 8GB cho phép mở nhiều tab duyệt web mà không lo lag, giật
256 GB M.2 NVMe PCIe giúp tăng khả năng lưu trữ dễ dàng quản lý cho công việc
Đa dạng cổng kết nối, đảm bảo quá trình làm việc không bị ngắt quảng
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-7400.html
Laptop Dell Latidude 7320 9PPWV,19.990.000đ,16.990.000đ,"Sở hữu thiết kế mỏng nhẹ, trọng lượng chỉ 1.12kg thích hợp bỏ trong balo mang theo bên người
CPU i5-1145G7 giúp bạn giải quyết được các công việc văn phòng cũng như chỉnh sửa hình ảnh nhẹ trên PTS
Ổ cứng SSD 256GB cho phép bạn lưu trữ một lượng lớn dữ liệu trên máy tính mà không cần copy ra USB
RAM 16GB giúp bạn mở liên tục các cửa sổ công việc mà không lo bị giật lag, đứng máy
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-7320-9ppwv.html
Laptop Dell XPS 9315,Giá Liên Hệ,Giá Liên Hệ,"Thiết kế với chất liệu nhôm cao cấp và được phủ một lớp sơn bạc trông vô cùng tinh tế và thanh lịch.
Kích thước máy nhỏ gọn chỉ 1.17kg dễ dàng mang máy di chuyển khắp nơi.
Được trang bị dòng chip U thế hệ thứ 12 mới nhất nhà Intel với hiệu năng mạnh mẽ, cân mọi tác vụ văn phòng cho đến đồ họa thiết kế 2D.
RAM 16GB và 512GB SSD hiệu suất cao cùng khả năng tối ưu điện năng tốt hơn.
Màn hình IPS có kích thước 13.4 inch, độ phân giải Full HD+ cho hình ảnh sắc nét, màu sắc rõ ràng đến từng chi tiết.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-9315.html
Laptop Dell Inspiron 15 3520 WTPRT,14.990.000đ,12.990.000đ,"CPU Intel Core i5 1135G7 cân mọi  tác vụ học tập, văn phòng
RAM 8 GB DDR4 cho phép bạn chạy đồng thời nhiều chương trình mà không lag, giật
Ổ cứng SSD 512 GB cung cấp không gian lưu trữ rộng lớn cho nhiều tập tin
Màn hình 15.6 inch Full HD cho độ nét cao và hình ảnh sắc nét
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-wtprt.html
Laptop Dell Inspiron 3511 P112F001ABL,13.600.000đ,10.490.000đ,"Chip Core i3-1115G4 tiết kiệm pin, hiệu năng ổn định thích hợp làm văn phòng.
RAM 4GB mang lại hiệu năng ổn định khi sử dụng
Công nghệ Wide Viewing Angle (WVA) - mang đến trải nghiệm giải trí cực kỳ thú vị với màu sắc sống động qua từng khung hình.
Đa dạng các cổng kết nối: jack cắm audio, cổng HDMI 1.4, cổng USB C,...dễ truyền hoặc xuất dữ liệu với nhiều thiết bị khác nhau.
Tích hợp webcam 720p HD cho phép đàm thoại thông qua video thoải mái.
Thiết kế vỏ nhựa cứng cáp, nặng 1.73 kg thuận tiện di chuyển, mang theo.
Máy đi kèm Windows 10 bản quyền.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-3511-p112f001abl.html
Laptop Dell Latitude E5430,Giá Liên Hệ,Giá Liên Hệ,"Chip Intel Core i5-3320M cho bạn xử lý ổn thỏa những tác vụng văn phòng
RAM 4GB cùng SSD 120GB cho bạn mở ổn thỏa trên 10 tab mà không lo giật lag
Màn hình 14 inch HD xuất ra hình ảnh chân thật, đẹp mắt
Trang bị nhiều cổng kết nối cho bạn truyền xuất dữ liệu nhanh chóng
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-e5430.html
Laptop Dell Latitude 7480,Giá Liên Hệ,Giá Liên Hệ,"Mang thiết kế đơn giản, chắc chắn, trọng lượng gọn nhẹ chỉ 1.5 kg
Giải quyết nhanh mọi tác vụ văn phòng với CPU Intel Core i5-7300U
Ổ cứng 256GB SSD M2 hỗ trợ không gian lưu trữ đủ dùng
8GB RAM cho phép xử lý các tác vụ nhanh chóng, mở cùng lúc 10 tab trên Chrome cũng không bị giật, lag
Tích hợp đa dạng các cổng kết nối: USB-C, DisplayPort,... 
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-latitude-7480.html
Laptop Dell Inspiron 7425,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu CPU MD Ryzen 5-5625U giúp bạn giải quyết ổn thỏa các tác vụ văn phòng
Màn hình 14 inch cùng độ phân giải Full HD cho phép hiển thị hình ảnh đặc sắc, chân thật
Ổ cứng SSD 512GB cùng RAM 8GB cho bạn thỏa thích mở nhiều tab cùng khởi động nhanh máy tính, ứng dụng
Màn hình gập kèm tính năng cảm ứng giúp bạn dễ dàng sử dụng, dễ dàng xem những bộ phim mình yêu thích


",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-inspiron-7425.html
Laptop Dell XPS 15 9520,Giá Liên Hệ,Giá Liên Hệ,"Tấm nền OLED hỗ trợ cảm ứng đa điểm, cho phép bạn thao tác trực tiếp lên màn hình
Bộ vi xử lý Intel Core i9 12900HK cân mọi tác vụ công việc, thoải mái sáng tạo, khởi chạy những tác vụ nặng một cách mượt mà
Card đồ họa NVIDIA GeForce RTX 3050 Ti hỗ trợ chỉnh sửa ảnh, video, dựng hình 3D, lập trình và nhiều hoạt động chuyên sâu khác
RAM 16GB cùng ổ cứng SSD 512GB cho khả năng xử lý đa nhiệm, mở máy, mở ứng dụng chỉ trong tích tắc
Cảm biến vân tay mở khóa máy ngay lập tức mà không cần mật khẩu
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-15-9520.html
Laptop Dell XPS 13 9350,Giá Liên Hệ,Giá Liên Hệ,"Sở hữu hiết kế siêu mỏng với độ dày chỉ 15 mm cùng kích thước 13.3 inch di động dễ dàng mang theo mọi nơi.
Màn hình cảm ứng IPS cùng độ phân giải 3200 x 1800 pixels cho hình ảnh cực nét, chân thực.
Cấu hình mạnh mẽ với chip Intel Core i7 và RAM 8 GB giúp máy chạy cùng lúc nhiều chương trình mà vẫn đảm bảo sự mượt mà.
Ổ cứng SSD 256 GB có tốc độ truy xuất cao giúp khởi động máy hay sao chép dữ liệu nhanh chóng.
Hệ điều hành Windows 10 bản quyền với giao diện đẹp và nhiều tính năng hữu ích.
",,,,,,,,,,,https://cellphones.com.vn/laptop-dell-xps-13-9350.html
