product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Laptop LG Gram 2023 14Z90RS-G.AH54A5,38.990.000đ,27.990.000đ,"Thiết kế laptop có vỏ ngoài được làm từ kim loại sang trọng, chắc chắc, trọng lượng nhẹ chỉ 999g, thuận tiện cho việc di chuyển
Sử dụng RAM 16GB cùng ổ cứng 512GB và trang bị thêm 2 khe cắm giúp tăng thêm không gian lưu trữ dữ liệu
Màn hình 14 inch độ phủ màu DCI-P3 lên đến 99% giúp hình ảnh, video trở nên sống động, rõ nét
Trang bị bàn phím có đèn led giúp bạn dễ dàng hoạt động trong môi trường thiếu sáng
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-14z90rs-g-ah54a5.html
Laptop LG Gram 2023 14Z90R-G.AH53A5,32.490.000đ,22.990.000đ,"Chip i5-1340P cùng card đồ họa Intel Iris Xe Graphics giúp bạn thực hiện tốt các công việc văn phòng và giải trị nhẹ
Ram 16GB cùng ổ cứng 256GB kết hợp với 1 khe trống giúp bạn lưu trữ được nhiều thông tin, dữ liệu
Màn hình 14.0 inches cùng độ phủ màu DCI-P3 lên đến 99% đem lại chất lượng hình ảnh, video rõ nét
Âm thanh HD kết hợp cùng Dolby Atmos giúp bạn có những giây phút trải nghiệm âm nhạc chân thật, sống động
Thiết kế laptop mỏng nhẹ, sang trọn, trọng lượng chỉ 999g, thích hợp cho bạn mang theo bên mình
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-14z90r-g-ah53a5.html
Laptop LG Gram 2023 15Z90RT-G.AH55A5,42.990.000đ,31.990.000đ,"Chip i5-1340P kết hợp cùng đồ họa Intel Iris Xe Graphics giúp bạn giải quyết tốt các tác vụ văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 15.6 inch có độ phân giải Full HD kết hợp cùng độ phủ màu DCI-P3 100% đem trải nghiệm hình ảnh, video chân thật
RAM 16GB cùng ổ cứng SSD 512GB đem lại không gian lưu trữ dữ liệu rộng lớn
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 990g thích hợp để bạn mang theo đi học, đi làm đều được
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-15z90rt-g-ah55a5.html
Laptop LG GRAM 2023 16Z90RS-G.AH54A5,43.990.000đ,33.990.000đ,"Chip i5-1340P kết hợp cùng Intel Iris Xe Graphics đem lại nhiều tiện ích trong việc giải quyết công việc văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 16 inch kết hợp cùng độ phủ màu DCI-P3 100% và công nghệ chống chói giúp bạn trải nghiệm được hình ảnh sống động nhưng vẫn bảo vệ được đôi mắt
RAM 16GB cùng ổ cứng SSD 512GB giúp bạn tự tin lưu trữ dữ liệu mà không sợ hết
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 1.25kg , rất dễ dàng để bạn mang theo bên người mà không lo nặng vai
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-ultra-slim-16z90rs-g-ah54a5.html
Laptop LG Gram 2023 17Z90R-G.AH78A5,50.990.000đ,37.990.000đ,"Chip i7-1360P kết hợp card đồ họa Intel Iris Xe Graphics đáp ứng tốt cho công việc văn phòng, cũng như chỉnh sửa hình ảnh nhẹ
Ram 16GB cùng ổ cứng 1TB SSD cho phép máy bạn lưu trữ được nhiều dữ liệu nhưng vẫn hoạt động mượt mà
Màn hình 17 inch cùng độ phủ màu DCI-P3 lên đến 99% cho phép bạn xem những thước phim, hỉnh ảnh sống động chân thật
Thiết kế kiểu dáng sang trọng, nhỏ gọn, trọng lượng chỉ 1.350kg, thích hợp cho việc mang theo bên mình
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-17z90r-g-ah78a5.html
Laptop LG Gram 2024 14Z90S-G.AH55A5,36.290.000đ,35.790.000đ,"Laptop có thiết kế mỏng nhẹ, lý tưởng cho những người thường xuyên di chuyển.
Trang bị bộ vi xử lý Intel U5-125H, 16GB RAM và ổ cứng SSD 512GB PCIe có thể xử lý mượt mà các tác vụ văn phòng, học tập và giải trí nhẹ nhàng.
Màn hình 14 inch độ phân giải 1920x1200 với tấm nền IPS và độ phủ màu DCI-P3 99% mang đến hình ảnh sắc nét, sống động và màu sắc chính xác.
Cài đặt sẵn hệ điều hành Windows 11 mới nhất, mang đến trải nghiệm sử dụng hiện đại và hiệu quả.
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2024-14z90s-g-ah55a5.html
Laptop LG Gram 2023 16Z90R-E.AH75A5,49.990.000đ,36.990.000đ,"Chip i7-1360P kết hợp cùng RTX 3050 giúp bạn thoả sức chỉnh sức hình ảnh, đồ hoạ
Màn hình 14 inch có độ phân giải WQXGA kết hợp cùng độ phủ màu DCI-P3 99% đem lại khả năng hiển thị hình ảnh sắc nét và màu sắc chân thật
Sử dụng nhiều cổng kết nối: Cổng USB Type C, USB Type A, HDMI, DC-in, giúp bạn truyền và xuất dữ liệu một cách nhanh chóng
Trọng lựa máy nhẹ chỉ 1.29kg, thích hợp mang theo bên mình
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-16z90r-e-ah75a5.html
Laptop LG Gram 2023 16Z90R-G.AH76A5,,,"Thiết kế mỏng nhẹ, trọng lượng chỉ 1.19kg giúp bạn thuận tiện mang theo đi học hay đi làm
Chip i7-1360P kết hợp cùng card đồ họa Intel Iris Xe Graphics giúp bạn thực hiện công việc văn phòng và giải trí nhẹ nhàng
RAM 16GB cùng ổ cứng 512GB + khe cắm giúp bạn luôn có không gian để lưu trữ dữ liệu
Màn hình 16 inch có độ phân giải WQXGA cùng độ phủ màu DCI-P3 99% đem lại chất lượng hiển thị hình ảnh rõ nét
Âm thanh HD với cùng với Dolby Atmos đem đến trải nghiệm âm thanh sống động, chân thật
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-16z90r-g-ah76a5.html
Laptop LG Gram 2024 17Z90S-G.AH78A5,49.290.000đ,48.790.000đ,"Màn hình 17 inch độ phân giải 2560x1600 mang đến không gian làm việc rộng rãi và hình ảnh sắc nét, sống động.
Được trang bị bộ vi xử lý Intel U7-155H, 16GB RAM và ổ cứng SSD 1TB PCIe xử lý mượt mà các tác.
Thiết kế mỏng nhẹ ấn tượng với trọng lượng chỉ 1.37kg, thuận tiện cho việc di chuyển.
Máy cài đặt sẵn hệ điều hành Windows 11 mới nhất, mang đến trải nghiệm sử dụng hiện đại và hiệu quả.
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2024-17z90s-g-ah78a5.html
Laptop LG Gram 2023 16ZD90R-G.AX55A5,39.990.000đ,28.990.000đ,"Chip i5-1340P cùng đồ họa Intel Iris Xe Graphics giúp bạn có thể chiến được những tựa game nhẹ, chỉnh sửa hình ảnh
Màn hình 16 inch có độ phân giải WQXGA và độ phủ màu DCI-P3 99% giúp hình ảnh, video trở nên sắc nét, chân thật
Trang bị nhiều cổng kết nối khác nhau, giúp bạn thuận tiện trong việc kết nối và truyền tải dữ liệu - Cổng USB Type C, USB Type A, HDMI, DC-in
Thiết kế kiểu dáng gọn nhẹ, sang trọng, trọng lượng chỉ 1.199kg giúp bạn mang theo bên mình dễ dàng
",,,,,,,,,,,https://cellphones.com.vn/laptop-lg-gram-2023-16zd90r-g-ax55a5.html
