product_name,actual_price,discount_price,description,processor,ram,storage,graphic_card,display_size,battery,resolution,ports,operating_system,image_link,product_link
Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,24.990.000đ,23.990.000đ,"Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg
Hiệu năng hàng đầu - Chip Apple M2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier
Đa nhiệm mượt mà - Ram 8GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc
Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits
Âm thanh sống động - 4 loa tramg bị công nghệ Dolby Atmos và âm thanh đa chiều
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m2-2022.html
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,22.990.000đ,18.490.000đ,"Phù hợp cho lập trình viên, thiết kế đồ họa 2D, dân văn phòng
Hiệu năng vượt trội - Cân mọi tác vụ từ word, exel đến chỉnh sửa ảnh trên các phần mềm như AI, PTS
Đa nhiệm mượt mà - Ram 8GB cho phép vừa mở trình duyệt để tra cứu thông tin, vừa làm việc trên phần mềm
Trang bị SSD 256GB - Cho thời gian khởi động nhanh chóng, tối ưu hoá thời gian load ứng dụng
Chất lượng hình ảnh sắc nét - Màn hình Retina cao cấp cùng công nghệ TrueTone cân bằng màu sắc
Thiết kế sang trọng - Nặng chỉ 1.29KG, độ dày 16.1mm. Tiện lợi mang theo mọi nơi
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-2020-m1.html
MacBook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,27.990.000đ,26.990.000đ,"Sức mạnh xử lý hàng đầu trên chip Apple M3 - Cân tốt mọi tác vụ từ đồ hoạ đến lập trình
Màn hình Liquid Retina 13,6 inch - Màu sắc hiển thị rực rỡ, sắc nét
Camera FaceTime HD 1080p - Đàm thoại, hội họp mọi lúc mọi nơi
Hỗ trợ sạc 30W - Nhanh chóng nạp đầy pin khi bạn cần
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m3-13-inch-2024.html
Apple MacBook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,29.990.000đ,28.790.000đ,"Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg
Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier
Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc
Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits
Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m2-2022-16gb.html
MacBook Pro 14 M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,49.990.000đ,48.790.000đ,"Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg
Xử lý moi tác vụ với con chip M3 cùng 18 nhân GPU
Chất lượng hiển thị hàng đầu - màn hình 14.2 inch tấm nền retina
Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm
Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos
",,,,,,,,,,,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb.html
MacBook Air M3 13 inch 2024 16GB - 256GB sạc 30W | Chính hãng Apple Việt Nam,32.990.000đ,31.990.000đ,"Sức mạnh xử lý hàng đầu trên chip Apple M3 - Cân tốt mọi tác vụ từ đồ hoạ đến lập trình
Màn hình Liquid Retina 13,6 inch - Màu sắc hiển thị rực rỡ, sắc nét
Camera FaceTime HD 1080p - Đàm thoại, hội họp mọi lúc mọi nơi
Hỗ trợ sạc 30W - Nhanh chóng nạp đầy pin khi bạn cần
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m3-13-inch-2024-16gb-256gb.html
MacBook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,39.990.000đ,38.090.000đ,"Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg
Xử lý moi tác vụ với con chip M3 cùng 10 nhân GPU
Chất lượng hiển thị hàng đầu - màn hình 14.2 inch tấm nền retina
Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm
Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos
",,,,,,,,,,,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-512gb.html
MacBook Air M3 13 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam,37.990.000đ,36.290.000đ,"Sức mạnh xử lý hàng đầu trên chip Apple M3 - Cân tốt mọi tác vụ từ đồ hoạ đến lập trình
Màn hình Liquid Retina 13,6 inch - Màu sắc hiển thị rực rỡ, sắc nét
Camera FaceTime HD 1080p - Đàm thoại, hội họp mọi lúc mọi nơi
Hỗ trợ sạc 35W - Nhanh chóng nạp đầy pin khi bạn cần
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m3-13-inch-2024-16gb-512gb.html
Apple MacBook Air M2 2022 16GB 512GB I Chính hãng Apple Việt Nam,34.990.000đ,33.590.000đ,"Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg
Hiệu năng hàng đầu - Chip Apple m2, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier
Đa nhiệm mượt mà - Ram 16GB, SSD 512GB cho phép vừa làm việc, vừa nghe nhạc
Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits
Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m2-2022-16gb-512gb.html
MacBook Pro 16 inch M1 Max 10 CPU - 32 GPU 32GB 1TB 2021 | Chính hãng Apple Việt Nam,92.990.000đ,53.990.000đ,"Trang bị chip M1 Max với 10 lõi CPU và 32 lõi GPU mang đến hiệu năng vượt trội, xử lý mượt mà các tác vụ nặng như chỉnh sửa video, render 3D hay chơi game.
Màn hình 16 inch với công nghệ Mini-LED Liquid Retina XDR mang đến độ sáng, độ tương phản và độ chính xác màu sắc ấn tượng, cho trải nghiệm hình ảnh sống động và chân thực.
RAM 32GB, bạn có thể chạy nhiều ứng dụng cùng lúc mà không lo giật lag. Ổ cứng SSD 1TB cho tốc độ đọc ghi dữ liệu cực nhanh, rút ngắn thời gian chờ đợi.
Sở hữu thiết kế sang trọng và tinh tế với vỏ nhôm nguyên khối, logo Apple sáng bóng và các đường nét tinh xảo.
",,,,,,,,,,,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max.html
MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB),44.990.000đ,43.790.000đ,"Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg
Xử lý mọi tác vụ với con chip M3 cùng 10 nhân GPU
Chất lượng hiển thị hàng đầu - màn hình 14.2 inch tấm nền Liquid Retina XDR
Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm
Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos
",,,,,,,,,,,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-16gb-512gb.html
Apple MacBook Air M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,39.990.000đ,29.290.000đ,"Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg
Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier
Đa nhiệm mượt mà - Ram 8GB, SSD 512GB cho phép vừa làm việc, vừa nghe nhạc
Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits
Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m2-2022-512gb.html
MacBook Air M3 15 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,32.990.000đ,31.190.000đ,"Sức mạnh xử lý hàng đầu trên chip Apple M3 - Cân tốt mọi tác vụ từ đồ hoạ đến lập trình
Màn hình Liquid Retina 15,3 inch - Màu sắc hiển thị rực rỡ, sắc nét
Camera FaceTime HD 1080p - Đàm thoại, hội họp mọi lúc mọi nơi
Hỗ trợ sạc 35W - Nhanh chóng nạp đầy pin khi bạn cần
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m3-15-inch-2024.html
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 256GB) | Chính hãng Apple Việt Nam,22.990.000đ,19.690.000đ,"Hiệu năng vượt trội với con chip M2 cùng 10 nhân GPU - Chạy tốt các tác vụ như render video, chỉnh sửa hình ảnh
Đa nhiệm tốt, mở cùng lúc nhiều ứng dụng với dung lượng ram lên đến 16GB
SSD 256GB giúp máy khởi động nhanh chóng, cho phép người dùng lưu trữ nhiều dữ liệu
Thiết kế nhỏ gọn cùng trọng lượng chỉ 1.18kg - dễ dàng di chuyển mọi lúc mọi nơi
Hệ điều hành MacOS Ventura mang đến khả năng bảo mật vượt trội, bảo vệ mọi dữ liẹu của người dùng
",,,,,,,,,,,https://cellphones.com.vn/mac-mini-m2-16gb-2023.html
MacBook Air M3 13 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam,32.990.000đ,31.490.000đ,"Sức mạnh xử lý hàng đầu trên chip Apple M3 - Cân tốt mọi tác vụ từ đồ hoạ đến lập trình
Màn hình Liquid Retina 13,6 inch - Màu sắc hiển thị rực rỡ, sắc nét
Camera FaceTime HD 1080p - Đàm thoại, hội họp mọi lúc mọi nơi
Hỗ trợ sạc 35W - Nhanh chóng nạp đầy pin khi bạn cần
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-m3-13-inch-2024-8gb-512gb.html
MacBook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam,32.990.000đ,27.490.000đ,"Hiệu năng hàng đầu với chip M2 - mạnh mẽ hơn 1.4 lần so với thế hệ trước giúp nâng cao hiệu suất làm việc
Mở ra không gian giải trí chân thật với màn hình Retina sắc nét
Trải nghiệm gõ thoải mái với bàn phím Apple Magic, mở khoá 1 chạm bằng Touch ID
Trang bị cổng thunderbolt thế hệ mới cho phép bạn truyền dữ liệu nhanh hơn bao giờ hết
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-sac-70w.html
MacBook Air 15 inch M2 2023 8GB 256GB sạc 35W | Chính hãng Apple Việt Nam,32.990.000đ,27.490.000đ,"Hiệu năng hàng đầu với chip M2 - mạnh mẽ hơn 1.4 lần so với thế hệ trước giúp nâng cao hiệu suất làm việc
Mở ra không gian giải trí chân thật với màn hình Retina sắc nét
Trải nghiệm gõ thoải mái với bàn phím Apple Magic, mở khoá 1 chạm bằng Touch ID
Trang bị cổng thunderbolt thế hệ mới cho phép bạn truyền dữ liệu nhanh hơn bao giờ hết
",,,,,,,,,,,https://cellphones.com.vn/macbook-air-15-inch-m2-2023.html
Macbook Pro 14 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,59.990.000đ,59.490.000đ,"Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg
Xử lý moi tác vụ với con chip M3 Pro cùng 14 nhân GPU
Chất lượng hiển thị hàng đầu - màn hình 14.2 inch tấm nền retina
Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm
Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos
",,,,,,,,,,,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-36gb-512gb.html
MacBook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam,59.990.000đ,58.690.000đ,"Thiết kế sang trọng, thời thượng với mặt lưng nhôm cùng trọng lượng chỉ 1.55kg
Xử lý moi tác vụ với con chip M3 cùng 18 nhân GPU
Chất lượng hiển thị hàng đầu - màn hình 14.2 inch tấm nền retina
Bàn phím trang bị Touch ID cho phép mở khoá chỉ với 1 chạm
Tận hưởng chất lượng âm thanh chân thật với hệ thống 6 loa cùng công nghệ Dolby Atmos
",,,,,,,,,,,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-1tb.html
