actual_price,discount_price,product_link,product_general_img_link
14.490.000₫,12.590.000₫,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/311178/asus-vivobook-go-15-e1504fa-r5-nj776w-thumb-600x600.jpg
19.990.000₫,16.990.000₫,https://www.thegioididong.com/laptop/asus-asus-vivobook-15-oled-a1505za-i5-ma415w,https://cdn.tgdd.vn/Products/Images/44/325477/asus-asus-vivobook-15-oled-a1505za-i5-ma415w-thumb-600x600.jpg
12.290.000₫,10.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/312414/asus-vivobook-15-x1504za-i3-nj102w-thumb-600x600.jpg
16.490.000₫,14.590.000₫,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i5-nk376w,https://cdn.tgdd.vn/Products/Images/44/322270/asus-vivobook-x1404za-i5-nk376w-thumb-600x600.jpg
20.990.000₫,17.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-k3605zf-i5-rp745w?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/328237/asus-vivobook-16x-k3605zf-i5-rp745w-thumb-600x600.jpg
11.990.000₫,10.190.000₫,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w?utm_flashsale=1,
20.990.000₫,16.990.000₫,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506nf-r5-hn012w,https://cdn.tgdd.vn/Products/Images/44/322269/asus-tuf-gaming-a15-fa506nf-r5-hn012w-thumb-600x600.jpg
24.990.000₫,20.490.000₫,https://www.thegioididong.com/laptop/asus-gaming-tuf-f15-fx507zc4-i5-hn330w,https://cdn.tgdd.vn/Products/Images/44/328235/asus-gaming-tuf-f15-fx507zc4-i5-hn330wthumb-600x600.jpg
18.990.000₫,15.790.000₫,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/309375/asus-vivobook-16-x1605va-i5-mb360w-thumb-laptop-600x600.jpg
18.490.000₫,15.790.000₫,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk050w,https://cdn.tgdd.vn/Products/Images/44/317704/asus-vivobook-14-x1404va-i5-nk050w-thumb-600x600.jpg
16.990.000₫,14.990.000₫,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i5-nj1546w,https://cdn.tgdd.vn/Products/Images/44/327977/asus-vivobook-15-x1504za-i5-nj1546w-thumb-600x600.jpg
16.990.000₫,14.990.000₫,https://www.thegioididong.com/laptop/asus-x1504za-i5-nj1608w,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/329858/asus-x1504za-i5-nj1608w-thumb-638621785794788808-600x600.jpg
24.990.000₫,19.490.000₫,https://www.thegioididong.com/laptop/asus-vivobook-k3605zc-i5-rp629w?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/328238/asus-vivobook-16x-k3605zc-i5-rp629w-thumb-600x600.jpg
26.990.000₫,23.490.000₫,https://www.thegioididong.com/laptop/asus-fx507zc4-i7-hn181w,https://cdn.tgdd.vn/Products/Images/44/327974/asus-fx507zc4-i7-hn181w-thumb-600x600.jpg
