actual_price,discount_price,product_link,product_general_img_link
16.990.000₫,16.390.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1,https://cdn.tgdd.vn/Products/Images/44/325242/dell-inspiron-15-3520-i5-n5i5052w1-thumb-600x600.jpg
16.990.000₫,16.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-25p231,https://cdn.tgdd.vn/Products/Images/44/321192/dell-inspiron-15-3520-i5-25p231-250424-020344-600x600.jpg
18.990.000₫,16.990.000₫,https://www.thegioididong.com/laptop/dell-latitude-3440-i5-l3440i51235u16g512g,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327980/dell-latitude-3440-i5-l3440i51235u16g512g-thumb-638622519854309572-600x600.jpg
16.990.000₫,16.390.000₫,https://www.thegioididong.com/laptop/dell-vostro-3520-i5-71030559,https://cdn.tgdd.vn/Products/Images/44/326194/dell-vostro-3520-i5-71030559-thumb-600x600.jpg
23.490.000₫,21.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-p16wd,https://cdn.tgdd.vn/Products/Images/44/325247/dell-inspiron-15-3530-i7-p16wd-thumb-600x600.jpg
19.990.000₫,18.390.000₫,https://www.thegioididong.com/laptop/dell-vostro-3530-i5-80gg93,https://cdn.tgdd.vn/Products/Images/44/328473/dell-vostro-3530-i5-80gg93-thumb-600x600.jpg
22.390.000₫,21.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71043888,https://cdn.tgdd.vn/Products/Images/44/328946/dell-inspiron-15-3530-i7-71043888-thumb-600x600.jpg
19.990.000₫,18.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n3530i5u165w11slu,https://cdn.tgdd.vn/Products/Images/44/327981/dell-inspiron-15-3530-i5-n3530i5u165w11slu-thumb-600x600.jpg
16.990.000₫,16.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71043883,https://cdn.tgdd.vn/Products/Images/44/328944/dell-inspiron-15-3520-i5-71043883-thumb-600x600.jpg
15.490.000₫,15.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2,https://cdn.tgdd.vn/Products/Images/44/303835/dell-vostro-15-3520-i5-5m2tt2-thumb-laptop-600x600.jpg
19.990.000₫,17.590.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n5i5340w1,https://cdn.tgdd.vn/Products/Images/44/327509/dell-inspiron-15-3530-i5-n5i5340w1-new-thumb-600x600.jpg
22.390.000₫,21.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n5i7301w1,https://cdn.tgdd.vn/Products/Images/44/328474/dell-inspiron-15-3530-i7-n5i7301w1-010824-125815-600x600.jpg
15.490.000₫,15.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu,https://cdn.tgdd.vn/Products/Images/44/296921/dell-inspiron-15-3520-i5u085w11blu-ab-thumb-600x600.jpg
19.990.000₫,18.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71043885,https://cdn.tgdd.vn/Products/Images/44/328945/dell-inspiron-15-3530-i5-71043885-thumb-600x600.jpg
16.990.000₫,16.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n3520i5u165w11blufp,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/329853/dell-inspiron-15-3520-i5-n3520i5u165w11blufp-thumb-638621799086929611-600x600.jpg
16.990.000₫,16.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-v3520i5u165w11gru,https://cdn.tgdd.vn/Products/Images/44/327982/dell-vostro-15-3520-i5-v3520i5u165w11gru-thumb-600x600.jpg
16.990.000₫,16.390.000₫,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-i5u165w11gru,https://cdn.tgdd.vn/Products/Images/44/324340/dell-vostro-15-3520-i5-i5u165w11gru-thumb-600x600.jpg
15.690.000₫,15.390.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n3520-i5u085w11slu,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330075/dell-inspiron-15-3520-i5-n3520-i5u085w11slu-thumb-638627945571840016-600x600.jpg
26.990.000₫,24.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-7fn5j,https://cdn.tgdd.vn/Products/Images/44/325953/dell-inspiron-14-5440-core-7-7fn5j-thumb-600x600.jpg
22.390.000₫,21.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71026454,https://cdn.tgdd.vn/Products/Images/44/326148/dell-inspiron-15-3530-i7-71026454-thumb-600x600.jpg
16.190.000₫,15.390.000₫,https://www.thegioididong.com/laptop/dell-vostro-3420-i5-v4i5702w1,https://cdn.tgdd.vn/Products/Images/44/325243/dell-vostro-3420-i5-v4i5702w1-thumb-new-600x600.jpg
12.990.000₫,10.490.000₫,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i3-i3u082w11blu,https://cdn.tgdd.vn/Products/Images/44/302266/dell-inspiron-15-3520-i3-i3u082w11blu-thumb-600x600.jpg
12.990.000₫,10.490.000₫,https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1,https://cdn.tgdd.vn/Products/Images/44/305655/dell-vostro-3520-i3-v5i3614w1-thumb-600x600.jpg
25.990.000₫,23.990.000₫,https://www.thegioididong.com/laptop/dell-inspiron-14-5440-core-7-n4i7204w1,https://cdn.tgdd.vn/Products/Images/44/325244/dell-inspiron-14-5440-core-7-n4i7204w1-thumb-600x600.jpg
