actual_price,discount_price,product_link
19.790.000₫,16.290.000₫,https://www.thegioididong.com/laptop/hp-15-fd0234tu-i5-9q969pa
15.190.000₫,13.290.000₫,https://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa
13.490.000₫,9.590.000₫,https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa
19.590.000₫,15.990.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i5-ag2j7at
21.290.000₫,18.490.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa
14.590.000₫,12.190.000₫,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt
24.590.000₫,19.490.000₫,https://www.thegioididong.com/laptop/hp-victus-15-fa1139tx-i5-8y6w3pa
13.690.000₫,10.790.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i3-ag2j5at
12.790.000₫,9.690.000₫,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a2pa
21.990.000₫,18.890.000₫,https://www.thegioididong.com/laptop/hp-15-fd0015tu-i7-a19c5pa
19.590.000₫,16.790.000₫,https://www.thegioididong.com/laptop/hp-240-g10-i5-9h2e4pt
20.990.000₫,17.690.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa
25.490.000₫,19.290.000₫,https://www.thegioididong.com/laptop/hp-victus-15-fb1022ax-r5-94f19pa
25.290.000₫,22.290.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa
25.290.000₫,21.190.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa
24.990.000₫,23.690.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa
20.990.000₫,19.090.000₫,https://www.thegioididong.com/laptop/hp-15-fd1063tu-ultra-5-9z2y1pa
18.590.000₫,14.490.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y2pa?utm_flashsale=1
19.790.000₫,16.590.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa
19.590.000₫,16.290.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i5-9t2g2pt
13.690.000₫,10.790.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x8pa
27.590.000₫,25.290.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1047tu-i7-80r25pa?utm_flashsale=1
18.890.000₫,15.990.000₫,https://www.thegioididong.com/laptop/hp-15s-fq5162tu-i5-7c134pa?utm_flashsale=1
12.990.000₫,9.490.000₫,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x7pa?utm_flashsale=1
28.990.000₫,26.990.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0050au-r5-a29h8pa
13.690.000₫,10.590.000₫,https://www.thegioididong.com/laptop/hp-15s-fq5229tu-i3-8u237pa?utm_flashsale=1
13.490.000₫,10.490.000₫,https://www.thegioididong.com/laptop/hp-15-fd0304tu-i3-a2nl5pa?utm_flashsale=1
20.990.000₫,17.490.000₫,https://www.thegioididong.com/laptop/hp-15-fd1064tu-ultra-5-9z2y2pa?utm_flashsale=1
28.290.000₫,26.790.000₫,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek2027tu-core-7-9z2v9pa
20.590.000₫,15.790.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tx-i5-7c0w7pa?utm_flashsale=1
19.990.000₫,17.990.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa?utm_flashsale=1
29.690.000₫,24.390.000₫,https://www.thegioididong.com/laptop/hp-gaming-victus-16-r0130tx-i5-8c5n5pa
19.990.000₫,17.990.000₫,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3095tu-i5-8c5l6pa?utm_flashsale=1
29.490.000₫,27.490.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0094tu-ultra-5-a19c4pa
14.190.000₫,11.490.000₫,https://www.thegioididong.com/laptop/hp-245-g10-r5-8f155pa?utm_flashsale=1
22.590.000₫,20.290.000₫,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-9h1n5pt?utm_flashsale=1
27.790.000₫,24.490.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-9h1n9pt
23.590.000₫,21.490.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i5-19j0b4pt
20.890.000₫,18.190.000₫,https://www.thegioididong.com/laptop/hp-15s-fq5147tu-i7-7c133pa?utm_flashsale=1
27.390.000₫,21.990.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0173ax-r5-a9lg9pa
27.390.000₫,21.990.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0173ax-r5-a9lg9pa
22.590.000₫,20.290.000₫,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-873d1pa?utm_flashsale=1
27.390.000₫,20.990.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0078ax-r5-8c5n7pa
26.990.000₫,24.990.000₫,https://www.thegioididong.com/laptop/hp-probook-450-g10-i7-873d3pa?utm_flashsale=1
27.790.000₫,24.490.000₫,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i7-873f2pa?utm_flashsale=1
29.690.000₫,24.390.000₫,https://www.thegioididong.com/laptop/hp-victus-16-r0283tx-i5-ad9t3pa
26.990.000₫,24.990.000₫,https://www.thegioididong.com/laptop/hp-probook-450-g10-i7-9h8h1pt?utm_flashsale=1
37.390.000₫,33.390.000₫,https://www.thegioididong.com/laptop/hp-victus-16-s0139ax-r7-9q986pa
31.690.000₫,29.190.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0048au-r7-a19bqpa
31.690.000₫,27.090.000₫,https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa
38.390.000₫,33.590.000₫,https://www.thegioididong.com/laptop/hp-victus-16-r0127tx-i7-8c5n2pa
36.590.000₫,34.090.000₫,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0083tu-ultra-7-a19bspa
