actual_price,discount_price,product_link,product_general_img_link
15.990.000₫,14.290.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn,https://cdn.tgdd.vn/Products/Images/44/313333/lenovo-ideapad-slim-3-15iah8-i5-83er00evn-thumb-600x600.jpg
14.390.000₫,11.790.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,https://cdn.tgdd.vn/Products/Images/44/325500/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn-thumb-600x600.jpg
24.990.000₫,21.690.000₫,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn,https://cdn.tgdd.vn/Products/Images/44/322072/lenovo-loq-gaming-15iax9-i5-83gs000jvn-thumb-new-600x600.jpg
25.490.000₫,22.190.000₫,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00d9vn?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/327050/lenovo-loq-15iax9-i5-83gs00d9vn-thumb-600x600.jpg
14.490.000₫,12.790.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn,https://cdn.tgdd.vn/Products/Images/44/313627/lenovo-ideapad-1-15alc7-r7-82r400c1vn-thumb-1-600x600.jpg
19.490.000₫,17.390.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn,https://cdn.tgdd.vn/Products/Images/44/322073/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn-thumb-600x600.jpg
18.490.000₫,16.690.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/322082/lenovo-ideapad-5-14iah8-i5-83bf003wvn-thumb-laptop-638632059812795496-600x600.jpg
29.490.000₫,26.890.000₫,https://www.thegioididong.com/laptop/lenovo-loq-15arp9-r7-83jc0040vn,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327051/lenovo-loq-15arp9-r7-83jc0040vn-thumb-laptop-638632064157592071-600x600.jpg
21.690.000₫,17.990.000₫,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-15iru9-core-5-83d0000evn?utm_flashsale=1,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/326574/lenovo-ideapad-slim-5-15iru9-core-5-83d0000evn-thumb-638622511854518494-600x600.jpg
23.490.000₫,21.290.000₫,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00dbvn,https://cdn.tgdd.vn/Products/Images/44/328483/lenovo-loq-15iax9-i5-83gs00dbvn-thumb-600x600.jpg
