actual_price,discount_price,product_link,product_general_img_link
14.990.000₫,12.490.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-628vn,https://cdn.tgdd.vn/Products/Images/44/311016/msi-modern-15-b12mo-i5-628vn-thumb-1-600x600.jpg
22.990.000₫,18.990.000₫,https://www.thegioididong.com/laptop/msi-gf63-thin-12ve-i5-460vn,https://cdn.tgdd.vn/Products/Images/44/326861/msi-gf63-thin-12ve-i5-460vn-150624-020653-600x600.png
18.990.000₫,16.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b12ucx-i5-2046vn,https://cdn.tgdd.vn/Products/Images/44/326124/msi-thin-15-b12ucx-i5-2046vn-thumb-600x600.jpg
20.990.000₫,17.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b12uc-i5-2045vn,https://cdn.tgdd.vn/Products/Images/44/326279/msi-thin-15-b12uc-i5-2045vn-thumb-600x600.jpg
19.490.000₫,14.990.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i7-487vn,https://cdn.tgdd.vn/Products/Images/44/310450/msi-modern-15-b12mo-i7-487vn-thumb-1-600x600.jpg
13.990.000₫,11.490.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,https://cdn.tgdd.vn/Products/Images/44/310449/msi-modern-15-b12mo-i5-625vn-glr-thumb-600x600.jpg
26.990.000₫,23.990.000₫,https://www.thegioididong.com/laptop/msi-katana-15-b13udxk-i7-2077vn,https://cdn.tgdd.vn/Products/Images/44/326122/msi-katana-15-b13udxk-i7-2077vn-thumb-600x600.jpg
20.990.000₫,17.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12uc-i7-887vn,https://cdn.tgdd.vn/Products/Images/44/316941/msi-gaming-gf63-thin-12uc-i7-887vn-glr-thumb-600x600.jpg
18.490.000₫,13.490.000₫,https://www.thegioididong.com/laptop/msi-modern-14-c13m-i5-611vn,https://cdn.tgdd.vn/Products/Images/44/327710/msi-modern-14-c13m-i5-611vn-thumb-laptop-600x600.jpg
31.990.000₫,27.990.000₫,https://www.thegioididong.com/laptop/msi-katana-15-b13vfk-i7-676vn,https://cdn.tgdd.vn/Products/Images/44/310447/msi-katana-15-b13vfk-i7-676vn-thumb-600x600.jpg
18.490.000₫,16.490.000₫,https://www.thegioididong.com/laptop/msi-bravo-15-b7ed-r5-010vn,https://cdn.tgdd.vn/Products/Images/44/314849/msi-bravo-15-b7ed-r5-010vn-thumb-2-600x600.png
14.990.000₫,11.490.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b7m-r5-231vn,https://cdn.tgdd.vn/Products/Images/44/307649/msi-modern-15-b7m-r5-231vn-070723-062809-600x600.jpg
22.490.000₫,17.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn,https://cdn.tgdd.vn/Products/Images/44/308697/msi-gaming-gf63-thin-12ve-i5-460vn-thumb-600x600.png
26.990.000₫,24.990.000₫,https://www.thegioididong.com/laptop/msi-cyborg-15-a13vek-i7-1423vn,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327707/msi-cyborg-15-a13vek-i7-1423vn-thumb-638622527904312717-600x600.jpg
18.990.000₫,15.490.000₫,https://www.thegioididong.com/laptop/msi-gf63-12uc-i5-803vn,https://cdn.tgdd.vn/Products/Images/44/310448/msi-gf63-12uc-i5-803vn-glr-thumb-600x600.jpg
19.990.000₫,17.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b13ucx-i5-2080vn,https://cdn.tgdd.vn/Products/Images/44/329786/msi-thin-15-b13ucx-i5-2080vn-thumb-600x600.jpg
17.190.000₫,15.990.000₫,https://www.thegioididong.com/laptop/msi-modern-15-f13mg-i5-082vn,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/331362/msi-modern-15-f13mg-i5-082vn-thumb-638654957069795077-600x600.jpg
21.990.000₫,21.490.000₫,https://www.thegioididong.com/laptop/msi-thin-15-b13uc-i7-1411vn,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330932/msi-thin-15-b13uc-i7-1411vn-thumb-638644314190953822-600x600.jpg
39.990.000₫,36.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn,https://cdn.tgdd.vn/Products/Images/44/322100/msi-gaming-sword-16-hx-b14vfkg-i7-045vn-thumb-600x600.jpg
36.990.000₫,32.990.000₫,https://www.thegioididong.com/laptop/msi-prestige-14-ai-studio-c1veg-ultra-7-056vn,https://cdn.tgdd.vn/Products/Images/44/329789/msi-prestige-14-ai-studio-c1veg-ultra-7-056vn-thumb-600x600.jpg
27.990.000₫,25.990.000₫,https://www.thegioididong.com/laptop/msi-cyborg-14-a13ve-i7-090vn,https://cdn.tgdd.vn/Products/Images/44/325586/msi-cyborg-14-a13ve-i7-090vn-thumb-600x600.jpg
51.990.000₫,48.990.000₫,https://www.thegioididong.com/laptop/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn,https://cdn.tgdd.vn/Products/Images/44/325588/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn-thumb-600x600.jpg
16.990.000₫,12.990.000₫,https://www.thegioididong.com/laptop/msi-modern-15-b7m-r7-238vn,https://cdn.tgdd.vn/Products/Images/44/311015/msi-modern-15-b7m-r7-238vn-thumb-600x600.jpg
33.990.000₫,30.990.000₫,https://www.thegioididong.com/laptop/msi-prestige-13-ai-evo-a1mg-ultra-7-062vn,https://cdn.tgdd.vn/Products/Images/44/322959/msi-prestige-13-ai-evo-a1mg-ultra-7-062vn-070424-040052-600x600.jpg
18.990.000₫,15.490.000₫,https://www.thegioididong.com/laptop/msi-gaming-thin-a15-b7ucx-r5-020vn,https://cdn.tgdd.vn/Products/Images/44/322097/msi-gaming-thin-a15-b7ucx-r5-020vn-thumb-600x600.jpg
30.990.000₫,28.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-katana-a15-ai-b8vf-r7-419vn,https://cdn.tgdd.vn/Products/Images/44/322949/msi-gaming-katana-a15-ai-b8vf-r7-419vn-thumb-600x600.jpg
39.990.000₫,36.990.000₫,https://www.thegioididong.com/laptop/msi-katana-a15-ai-b8vg-r7-465vn,https://cdn.tgdd.vn/Products/Images/44/326280/msi-katana-a15-ai-b8vg-r7-465vn-thumb-600x600.jpg
30.990.000₫,28.490.000₫,https://www.thegioididong.com/laptop/msi-gaming-cyborg-15-ai-a1vek-ultra-7-053vn,https://cdn.tgdd.vn/Products/Images/44/322099/msi-gaming-cyborg-15-ai-a1vek-ultra-7-053vn-thumb-600x600.jpg
41.990.000₫,38.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-katana-15-b13vgk-i7-1211vn,https://cdn.tgdd.vn/Products/Images/44/310606/msi-gaming-katana-15-b13vgk-i7-1211vn-thumb-600x600.jpg
28.990.000₫,26.990.000₫,https://www.thegioididong.com/laptop/msi-gaming-katana-a15-ai-b8ve-r7-402vn,https://cdn.tgdd.vn/Products/Images/44/322098/msi-gaming-katana-a15-ai-b8ve-r7-402vn-thumb-600x600.jpg
70.990.000₫,66.490.000₫,https://www.thegioididong.com/laptop/msi-stealth-16-mercedes-amg-a1vgg-ultra-9-293vn,https://cdn.tgdd.vn/Products/Images/44/328600/msi-stealth-16-mercedes-amg-a1vgg-ultra-9-293vn-thumb-600x600.jpg
102.990.000₫,97.990.000₫,https://www.thegioididong.com/laptop/msi-stealth-18-mercedes-amg-a1vhg-ultra-9-080vn,https://cdn.tgdd.vn/Products/Images/44/328597/msi-stealth-18-mercedes-amg-a1vhg-ultra-9-080vn-thumb-600x600.jpg
45.990.000₫,41.990.000₫,https://www.thegioididong.com/laptop/msi-creator-m16-hx-c14vfg-i7-040vn,https://cdn.tgdd.vn/Products/Images/44/325583/msi-creator-m16-hx-c14vfg-i7-040vn-thumb-600x600.jpg
29.990.000₫,27.990.000₫,https://www.thegioididong.com/laptop/msi-cyborg-15-a13vfk-i7-876vn,https://cdn.tgdd.vn/Products/Images/44/327401/msi-cyborg-15-a13vfk-i7-876vn-thumb-600x600.jpg
41.990.000₫,38.990.000₫,https://www.thegioididong.com/laptop/msi-katana-a15-ai-b8vg-r9-466vn,https://cdn.tgdd.vn/Products/Images/44/327402/msi-katana-a15-ai-b8vg-r9-466vn-thumb-600x600.jpg
